ColorName,NumOfColors,Type,CritVal,ColorNum,ColorLetter,C,M,Y,K,SchemeType
Accent,3,qual,,1,A,50,0,50,0,Qualitative
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
Accent,4,qual,,1,A,50,0,50,0,
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
,,,,4,D,0,0,40,0,
Accent,5,qual,,1,A,50,0,50,0,
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
,,,,4,D,0,0,40,0,
,,,,5,E,80,40,0,0,
Accent,6,qual,,1,A,50,0,50,0,
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
,,,,4,D,0,0,40,0,
,,,,5,E,80,40,0,0,
,,,,6,F,0,100,0,0,
Accent,7,qual,,1,A,50,0,50,0,
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
,,,,4,D,0,0,40,0,
,,,,5,E,80,40,0,0,
,,,,6,F,0,100,0,0,
,,,,7,G,25,60,90,0,
Accent,8,qual,,1,A,50,0,50,0,
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
,,,,4,D,0,0,40,0,
,,,,5,E,80,40,0,0,
,,,,6,F,0,100,0,0,
,,,,7,G,25,60,90,0,
,,,,8,H,0,0,0,60,
Blues,3,seq,,1,C,13,3,0,0,Sequential
,,,,2,F,38,8,0,0,
,,,,3,I,82,27,0,0,
Blues,4,seq,,1,B,8,2,0,0,
,,,,2,E,28,7,0,0,
,,,,3,G,57,14,0,0,
,,,,4,J,90,34,0,0,
Blues,5,seq,,1,B,8,2,0,0,
,,,,2,E,28,7,0,0,
,,,,3,G,57,14,0,0,
,,,,4,I,82,27,0,0,
,,,,5,K,100,45,0,7,
Blues,6,seq,,1,B,8,2,0,0,
,,,,2,D,24,6,0,0,
,,,,3,F,38,8,0,0,
,,,,4,G,57,14,0,0,
,,,,5,I,82,27,0,0,
,,,,6,K,100,45,0,7,
Blues,7,seq,,1,B,8,2,0,0,
,,,,2,D,24,6,0,0,
,,,,3,F,38,8,0,0,
,,,,4,G,57,14,0,0,
,,,,5,H,75,22,0,0,
,,,,6,J,90,34,0,0,
,,,,7,L,100,55,0,5,
Blues,8,seq,,1,A,3,1,0,0,
,,,,2,C,13,3,0,0,
,,,,3,D,24,6,0,0,
,,,,4,F,38,8,0,0,
,,,,5,G,57,14,0,0,
,,,,6,H,75,22,0,0,
,,,,7,J,90,34,0,0,
,,,,8,L,100,55,0,5,
Blues,9,seq,,1,A,3,1,0,0,
,,,,2,C,13,3,0,0,
,,,,3,D,24,6,0,0,
,,,,4,F,38,8,0,0,
,,,,5,G,57,14,0,0,
,,,,6,H,75,22,0,0,
,,,,7,J,90,34,0,0,
,,,,8,K,100,45,0,7,
,,,,9,M,100,55,0,30,
BrBG,3,div,2,1,E,15,25,55,0,Diverging
,,,,2,H,0,0,0,5,
,,,,3,K,65,5,23,0,
BrBG,4,div,2.5,1,C,35,55,90,0,
,,,,2,F,12,20,45,0,
,,,,3,J,50,0,17,0,
,,,,4,M,100,10,55,0,
BrBG,5,div,3,1,C,35,55,90,0,
,,,,2,F,12,20,45,0,
,,,,3,H,0,0,0,5,
,,,,4,J,50,0,17,0,
,,,,5,M,100,10,55,0,
BrBG,6,div,3.5,1,B,45,60,100,0,
,,,,2,E,15,25,55,0,
,,,,3,G,3,8,20,0,
,,,,4,I,22,0,6,0,
,,,,5,K,65,5,23,0,
,,,,6,N,100,30,60,0,
BrBG,7,div,4,1,B,45,60,100,0,
,,,,2,E,15,25,55,0,
,,,,3,G,3,8,20,0,
,,,,4,H,0,0,0,5,
,,,,5,I,22,0,6,0,
,,,,6,K,65,5,23,0,
,,,,7,N,100,30,60,0,
BrBG,8,div,4.5,1,B,45,60,100,0,
,,,,2,D,25,43,80,0,
,,,,3,F,12,20,45,0,
,,,,4,G,3,8,20,0,
,,,,5,I,22,0,6,0,
,,,,6,J,50,0,17,0,
,,,,7,L,80,12,35,0,
,,,,8,N,100,30,60,0,
BrBG,9,div,5,1,B,45,60,100,0,
,,,,2,D,25,43,80,0,
,,,,3,F,12,20,45,0,
,,,,4,G,3,8,20,0,
,,,,5,H,0,0,0,5,
,,,,6,I,22,0,6,0,
,,,,7,J,50,0,17,0,
,,,,8,L,80,12,35,0,
,,,,9,N,100,30,60,0,
BrBG,10,div,5.5,1,A,45,60,100,40,
,,,,2,B,45,60,100,0,
,,,,3,D,25,43,80,0,
,,,,4,F,12,20,45,0,
,,,,5,G,3,8,20,0,
,,,,6,I,22,0,6,0,
,,,,7,J,50,0,17,0,
,,,,8,L,80,12,35,0,
,,,,9,N,100,30,60,0,
,,,,10,O,100,30,70,40,
BrBG,11,div,6,1,A,45,60,100,40,
,,,,2,B,45,60,100,0,
,,,,3,D,25,43,80,0,
,,,,4,F,12,20,45,0,
,,,,5,G,3,8,20,0,
,,,,6,H,0,0,0,5,
,,,,7,I,22,0,6,0,
,,,,8,J,50,0,17,0,
,,,,9,L,80,12,35,0,
,,,,10,N,100,30,60,0,
,,,,11,O,100,30,70,40,
BuGn,3,seq,,1,C,10,0,0,0,Sequential
,,,,2,F,40,0,15,0,
,,,,3,I,83,0,70,0,
BuGn,4,seq,,1,B,7,0,0,0,
,,,,2,E,30,0,5,0,
,,,,3,G,60,0,30,0,
,,,,4,J,87,10,83,0,
BuGn,5,seq,,1,B,7,0,0,0,
,,,,2,E,30,0,5,0,
,,,,3,G,60,0,30,0,
,,,,4,I,83,0,70,0,
,,,,5,K,100,20,100,0,
BuGn,6,seq,,1,B,7,0,0,0,
,,,,2,D,20,0,6,0,
,,,,3,F,40,0,15,0,
,,,,4,G,60,0,30,0,
,,,,5,I,83,0,70,0,
,,,,6,K,100,20,100,0,
BuGn,7,seq,,1,B,7,0,0,0,
,,,,2,D,20,0,6,0,
,,,,3,F,40,0,15,0,
,,,,4,G,60,0,30,0,
,,,,5,H,75,0,55,0,
,,,,6,J,87,10,83,0,
,,,,7,L,100,35,100,0,
BuGn,8,seq,,1,A,3,0,0,0,
,,,,2,C,10,0,0,0,
,,,,3,D,20,0,6,0,
,,,,4,F,40,0,15,0,
,,,,5,G,60,0,30,0,
,,,,6,H,75,0,55,0,
,,,,7,J,87,10,83,0,
,,,,8,L,100,35,100,0,
BuGn,9,seq,,1,A,3,0,0,0,
,,,,2,C,10,0,0,0,
,,,,3,D,20,0,6,0,
,,,,4,F,40,0,15,0,
,,,,5,G,60,0,30,0,
,,,,6,H,75,0,55,0,
,,,,7,J,87,10,83,0,
,,,,8,K,100,20,100,0,
,,,,9,M,100,50,100,0,
BuPu,3,seq,,1,C,12,3,0,0,Sequential
,,,,2,F,38,14,0,0,
,,,,3,I,47,60,0,0,
BuPu,4,seq,,1,B,7,0,0,0,
,,,,2,E,30,10,0,0,
,,,,3,G,45,30,0,0,
,,,,4,J,47,70,0,0,
BuPu,5,seq,,1,B,7,0,0,0,
,,,,2,E,30,10,0,0,
,,,,3,G,45,30,0,0,
,,,,4,I,47,60,0,0,
,,,,5,K,47,95,0,5,
BuPu,6,seq,,1,B,7,0,0,0,
,,,,2,D,25,9,0,0,
,,,,3,F,38,14,0,0,
,,,,4,G,45,30,0,0,
,,,,5,I,47,60,0,0,
,,,,6,K,47,95,0,5,
BuPu,7,seq,,1,B,7,0,0,0,
,,,,2,D,25,9,0,0,
,,,,3,F,38,14,0,0,
,,,,4,G,45,30,0,0,
,,,,5,H,45,50,0,0,
,,,,6,J,47,70,0,0,
,,,,7,L,50,100,0,15,
BuPu,8,seq,,1,A,3,0,0,0,
,,,,2,C,12,3,0,0,
,,,,3,D,25,9,0,0,
,,,,4,F,38,14,0,0,
,,,,5,G,45,30,0,0,
,,,,6,H,45,50,0,0,
,,,,7,J,47,70,0,0,
,,,,8,L,50,100,0,15,
BuPu,9,seq,,1,A,3,0,0,0,
,,,,2,C,12,3,0,0,
,,,,3,D,25,9,0,0,
,,,,4,F,38,14,0,0,
,,,,5,G,45,30,0,0,
,,,,6,H,45,50,0,0,
,,,,7,J,47,70,0,0,
,,,,8,K,47,95,0,5,
,,,,9,M,50,100,0,40,
Dark2,3,qual,,1,A,90,0,55,0,Qualitative
,,,,2,B,15,60,100,0,
,,,,3,C,55,45,0,0,
Dark2,4,qual,,1,A,90,0,55,0,
,,,,2,B,15,60,100,0,
,,,,3,C,55,45,0,0,
,,,,4,D,5,85,5,0,
Dark2,5,qual,,1,A,90,0,55,0,
,,,,2,B,15,60,100,0,
,,,,3,C,55,45,0,0,
,,,,4,D,5,85,5,0,
,,,,5,E,60,10,100,0,
Dark2,6,qual,,1,A,90,0,55,0,
,,,,2,B,15,60,100,0,
,,,,3,C,55,45,0,0,
,,,,4,D,5,85,5,0,
,,,,5,E,60,10,100,0,
,,,,6,F,10,30,100,0,
Dark2,7,qual,,1,A,90,0,55,0,
,,,,2,B,15,60,100,0,
,,,,3,C,55,45,0,0,
,,,,4,D,5,85,5,0,
,,,,5,E,60,10,100,0,
,,,,6,F,10,30,100,0,
,,,,7,G,35,45,90,0,
Dark2,8,qual,,1,A,90,0,55,0,
,,,,2,B,15,60,100,0,
,,,,3,C,55,45,0,0,
,,,,4,D,5,85,5,0,
,,,,5,E,60,10,100,0,
,,,,6,F,10,30,100,0,
,,,,7,G,35,45,90,0,
,,,,8,H,0,0,0,60,
GnBu,3,seq,,1,C,12,0,12,0,Sequential
,,,,2,F,34,0,25,0,
,,,,3,I,75,12,0,0,
GnBu,4,seq,,1,B,6,0,8,0,
,,,,2,E,27,0,23,0,
,,,,3,G,52,0,15,0,
,,,,4,J,80,20,0,0,
GnBu,5,seq,,1,B,6,0,8,0,
,,,,2,E,27,0,23,0,
,,,,3,G,52,0,15,0,
,,,,4,I,75,12,0,0,
,,,,5,K,100,35,0,0,
GnBu,6,seq,,1,B,6,0,8,0,
,,,,2,D,20,0,20,0,
,,,,3,F,34,0,25,0,
,,,,4,G,52,0,15,0,
,,,,5,I,75,12,0,0,
,,,,6,K,100,35,0,0,
GnBu,7,seq,,1,B,6,0,8,0,
,,,,2,D,20,0,20,0,
,,,,3,F,34,0,25,0,
,,,,4,G,52,0,15,0,
,,,,5,H,70,5,0,0,
,,,,6,J,85,20,0,0,
,,,,7,L,100,42,0,5,
GnBu,8,seq,,1,A,3,0,5,0,
,,,,2,C,12,0,12,0,
,,,,3,D,20,0,20,0,
,,,,4,F,34,0,25,0,
,,,,5,G,52,0,15,0,
,,,,6,H,70,5,0,0,
,,,,7,J,85,20,0,0,
,,,,8,L,100,42,0,5,
GnBu,9,seq,,1,A,3,0,5,0,
,,,,2,C,12,0,12,0,
,,,,3,D,20,0,20,0,
,,,,4,F,34,0,25,0,
,,,,5,G,52,0,15,0,
,,,,6,H,70,5,0,0,
,,,,7,J,85,20,0,0,
,,,,8,K,100,35,0,0,
,,,,9,M,100,50,0,20,
Greens,3,seq,,1,C,10,0,10,0,Sequential
,,,,2,F,37,0,37,0,
,,,,3,I,81,0,76,0,
Greens,4,seq,,1,B,7,0,7,0,
,,,,2,E,27,0,27,0,
,,,,3,G,55,0,55,0,
,,,,4,J,84,10,83,0,
Greens,5,seq,,1,B,7,0,7,0,
,,,,2,E,27,0,27,0,
,,,,3,G,55,0,55,0,
,,,,4,I,81,0,76,0,
,,,,5,K,100,20,100,0,
Greens,6,seq,,1,B,7,0,7,0,
,,,,2,D,22,0,22,0,
,,,,3,F,37,0,37,0,
,,,,4,G,55,0,55,0,
,,,,5,I,81,0,76,0,
,,,,6,K,100,20,100,0,
Greens,7,seq,,1,B,7,0,7,0,
,,,,2,D,22,0,22,0,
,,,,3,F,37,0,37,0,
,,,,4,G,55,0,55,0,
,,,,5,H,75,0,70,0,
,,,,6,J,87,10,83,0,
,,,,7,L,100,35,90,0,
Greens,8,seq,,1,A,3,0,3,0,
,,,,2,C,10,0,10,0,
,,,,3,D,22,0,22,0,
,,,,4,F,37,0,37,0,
,,,,5,G,55,0,55,0,
,,,,6,H,75,0,70,0,
,,,,7,J,87,10,83,0,
,,,,8,L,100,35,90,0,
Greens,9,seq,,1,A,3,0,3,0,
,,,,2,C,10,0,10,0,
,,,,3,D,22,0,22,0,
,,,,4,F,37,0,37,0,
,,,,5,G,55,0,55,0,
,,,,6,H,75,0,70,0,
,,,,7,J,87,10,83,0,
,,,,8,K,100,20,100,0,
,,,,9,M,100,50,100,0,
Greys,3,seq,,1,C,0,0,0,6,Sequential
,,,,2,F,0,0,0,26,
,,,,3,I,0,0,0,61,
Greys,4,seq,,1,B,0,0,0,3,
,,,,2,E,0,0,0,20,
,,,,3,G,0,0,0,41,
,,,,4,J,0,0,0,68,
Greys,5,seq,,1,B,0,0,0,3,
,,,,2,E,0,0,0,20,
,,,,3,G,0,0,0,41,
,,,,4,I,0,0,0,61,
,,,,5,K,0,0,0,85,
Greys,6,seq,,1,B,0,0,0,3,
,,,,2,D,0,0,0,15,
,,,,3,F,0,0,0,26,
,,,,4,G,0,0,0,41,
,,,,5,I,0,0,0,61,
,,,,6,K,0,0,0,85,
Greys,7,seq,,1,B,0,0,0,3,
,,,,2,D,0,0,0,15,
,,,,3,F,0,0,0,26,
,,,,4,G,0,0,0,41,
,,,,5,H,0,0,0,55,
,,,,6,J,0,0,0,68,
,,,,7,L,0,0,0,85,
Greys,8,seq,,1,A,0,0,0,0,
,,,,2,C,0,0,0,6,
,,,,3,D,0,0,0,15,
,,,,4,F,0,0,0,26,
,,,,5,G,0,0,0,41,
,,,,6,H,0,0,0,55,
,,,,7,J,0,0,0,68,
,,,,8,L,0,0,0,85,
Greys,9,seq,,1,A,0,0,0,0,
,,,,2,C,0,0,0,6,
,,,,3,D,0,0,0,15,
,,,,4,F,0,0,0,26,
,,,,5,G,0,0,0,41,
,,,,6,H,0,0,0,55,
,,,,7,J,0,0,0,68,
,,,,8,K,0,0,0,85,
,,,,9,M,0,0,0,100,
Oranges,3,seq,,1,C,0,10,15,0,Sequential
,,,,2,F,0,32,50,0,
,,,,3,I,10,65,95,0,
Oranges,4,seq,,1,B,0,7,10,0,
,,,,2,E,0,26,40,0,
,,,,3,G,0,45,70,0,
,,,,4,J,15,70,100,0,
Oranges,5,seq,,1,B,0,7,10,0,
,,,,2,E,0,26,40,0,
,,,,3,G,0,45,70,0,
,,,,4,I,10,65,95,0,
,,,,5,K,35,75,100,0,
Oranges,6,seq,,1,B,0,7,10,0,
,,,,2,D,0,19,30,0,
,,,,3,F,0,32,50,0,
,,,,4,G,0,45,70,0,
,,,,5,I,10,65,95,0,
,,,,6,K,35,75,100,0,
Oranges,7,seq,,1,B,0,7,10,0,
,,,,2,D,0,19,30,0,
,,,,3,F,0,32,50,0,
,,,,4,G,0,45,70,0,
,,,,5,H,5,58,90,0,
,,,,6,J,15,70,100,0,
,,,,7,L,45,78,100,0,
Oranges,8,seq,,1,A,0,4,6,0,
,,,,2,C,0,10,15,0,
,,,,3,D,0,19,30,0,
,,,,4,F,0,32,50,0,
,,,,5,G,0,45,70,0,
,,,,6,H,5,58,90,0,
,,,,7,J,15,70,100,0,
,,,,8,L,45,78,100,0,
Oranges,9,seq,,1,A,0,4,6,0,
,,,,2,C,0,10,15,0,
,,,,3,D,0,19,30,0,
,,,,4,F,0,32,50,0,
,,,,5,G,0,45,70,0,
,,,,6,H,5,58,90,0,
,,,,7,J,15,70,100,0,
,,,,8,K,35,75,100,0,
,,,,9,M,50,80,100,0,
OrRd,3,seq,,1,C,0,9,18,0,Sequential
,,,,2,F,0,27,40,0,
,,,,3,I,10,70,70,0,
OrRd,4,seq,,1,B,0,6,12,0,
,,,,2,E,0,20,40,0,
,,,,3,G,0,45,55,0,
,,,,4,J,15,80,80,0,
OrRd,5,seq,,1,B,0,6,12,0,
,,,,2,E,0,20,40,0,
,,,,3,G,0,45,55,0,
,,,,4,I,10,70,70,0,
,,,,5,K,30,100,100,0,
OrRd,6,seq,,1,B,0,6,12,0,
,,,,2,D,0,17,32,0,
,,,,3,F,0,27,40,0,
,,,,4,G,0,45,55,0,
,,,,5,I,10,70,70,0,
,,,,6,K,30,100,100,0,
OrRd,7,seq,,1,B,0,6,12,0,
,,,,2,D,0,17,32,0,
,,,,3,F,0,27,40,0,
,,,,4,G,0,45,55,0,
,,,,5,H,5,60,60,0,
,,,,6,J,15,80,80,0,
,,,,7,L,40,100,100,0,
OrRd,8,seq,,1,A,0,3,6,0,
,,,,2,C,0,9,18,0,
,,,,3,D,0,17,32,0,
,,,,4,F,0,27,40,0,
,,,,5,G,0,45,55,0,
,,,,6,H,5,60,60,0,
,,,,7,J,15,80,80,0,
,,,,8,L,40,100,100,0,
OrRd,9,seq,,1,A,0,3,6,0,
,,,,2,C,0,9,18,0,
,,,,3,D,0,17,32,0,
,,,,4,F,0,27,40,0,
,,,,5,G,0,45,55,0,
,,,,6,H,5,60,60,0,
,,,,7,J,15,80,80,0,
,,,,8,K,30,100,100,0,
,,,,9,M,50,100,100,0,
Paired,3,qual,,1,A,35,7,0,0,Qualitative
,,,,2,B,90,30,0,0,
,,,,3,C,30,0,45,0,
Paired,4,qual,,1,A,35,7,0,0,
,,,,2,B,90,30,0,0,
,,,,3,C,30,0,45,0,
,,,,4,D,80,0,100,0,
Paired,5,qual,,1,A,35,7,0,0,
,,,,2,B,90,30,0,0,
,,,,3,C,30,0,45,0,
,,,,4,D,80,0,100,0,
,,,,5,E,0,40,25,0,
Paired,6,qual,,1,A,35,7,0,0,
,,,,2,B,90,30,0,0,
,,,,3,C,30,0,45,0,
,,,,4,D,80,0,100,0,
,,,,5,E,0,40,25,0,
,,,,6,F,10,90,80,0,
Paired,7,qual,,1,A,35,7,0,0,
,,,,2,B,90,30,0,0,
,,,,3,C,30,0,45,0,
,,,,4,D,80,0,100,0,
,,,,5,E,0,40,25,0,
,,,,6,F,10,90,80,0,
,,,,7,G,0,25,50,0,
Paired,8,qual,,1,A,35,7,0,0,
,,,,2,B,90,30,0,0,
,,,,3,C,30,0,45,0,
,,,,4,D,80,0,100,0,
,,,,5,E,0,40,25,0,
,,,,6,F,10,90,80,0,
,,,,7,G,0,25,50,0,
,,,,8,H,0,50,100,0,
Paired,9,qual,,1,A,35,7,0,0,
,,,,2,B,90,30,0,0,
,,,,3,C,30,0,45,0,
,,,,4,D,80,0,100,0,
,,,,5,E,0,40,25,0,
,,,,6,F,10,90,80,0,
,,,,7,G,0,25,50,0,
,,,,8,H,0,50,100,0,
,,,,9,I,20,25,0,0,
Paired,10,qual,,1,A,35,7,0,0,
,,,,2,B,90,30,0,0,
,,,,3,C,30,0,45,0,
,,,,4,D,80,0,100,0,
,,,,5,E,0,40,25,0,
,,,,6,F,10,90,80,0,
,,,,7,G,0,25,50,0,
,,,,8,H,0,50,100,0,
,,,,9,I,20,25,0,0,
,,,,10,J,60,70,0,0,
Paired,11,qual,,1,A,35,7,0,0,
,,,,2,B,90,30,0,0,
,,,,3,C,30,0,45,0,
,,,,4,D,80,0,100,0,
,,,,5,E,0,40,25,0,
,,,,6,F,10,90,80,0,
,,,,7,G,0,25,50,0,
,,,,8,H,0,50,100,0,
,,,,9,I,20,25,0,0,
,,,,10,J,60,70,0,0,
,,,,11,K,0,0,40,0,
Paired,12,qual,,1,A,35,7,0,0,
,,,,2,B,90,30,0,0,
,,,,3,C,30,0,45,0,
,,,,4,D,80,0,100,0,
,,,,5,E,0,40,25,0,
,,,,6,F,10,90,80,0,
,,,,7,G,0,25,50,0,
,,,,8,H,0,50,100,0,
,,,,9,I,20,25,0,0,
,,,,10,J,60,70,0,0,
,,,,11,K,0,0,40,0,
,,,,12,L,23,73,98,12,
Pastel1,3,qual,,1,A,0,30,20,0,Qualitative
,,,,2,B,30,10,0,0,
,,,,3,C,20,0,20,0,
Pastel1,4,qual,,1,A,0,30,20,0,
,,,,2,B,30,10,0,0,
,,,,3,C,20,0,20,0,
,,,,4,D,12,17,0,0,
Pastel1,5,qual,,1,A,0,30,20,0,
,,,,2,B,30,10,0,0,
,,,,3,C,20,0,20,0,
,,,,4,D,12,17,0,0,
,,,,5,E,0,15,30,0,
Pastel1,6,qual,,1,A,0,30,20,0,
,,,,2,B,30,10,0,0,
,,,,3,C,20,0,20,0,
,,,,4,D,12,17,0,0,
,,,,5,E,0,15,30,0,
,,,,6,F,0,0,20,0,
