ColorName,NumOfColors,Type,CritVal,ColorNum,ColorLetter,C,M,Y,K,SchemeType
Pastel1,7,qual,,1,A,0,30,20,0,
,,,,2,B,30,10,0,0,
,,,,3,C,20,0,20,0,
,,,,4,D,12,17,0,0,
,,,,5,E,0,15,30,0,
,,,,6,F,0,0,20,0,
,,,,7,G,10,12,20,0,
Pastel1,8,qual,,1,A,0,30,20,0,
,,,,2,B,30,10,0,0,
,,,,3,C,20,0,20,0,
,,,,4,D,12,17,0,0,
,,,,5,E,0,15,30,0,
,,,,6,F,0,0,20,0,
,,,,7,G,10,12,20,0,
,,,,8,H,0,15,0,0,
Pastel1,9,qual,,1,A,0,30,20,0,
,,,,2,B,30,10,0,0,
,,,,3,C,20,0,20,0,
,,,,4,D,12,17,0,0,
,,,,5,E,0,15,30,0,
,,,,6,F,0,0,20,0,
,,,,7,G,10,12,20,0,
,,,,8,H,0,15,0,0,
,,,,9,I,0,0,0,5,
Pastel2,3,qual,,1,A,30,0,15,0,Qualitative
,,,,2,B,0,20,25,0,
,,,,3,C,20,10,0,0,
Pastel2,4,qual,,1,A,30,0,15,0,
,,,,2,B,0,20,25,0,
,,,,3,C,20,10,0,0,
,,,,4,D,3,20,0,0,
Pastel2,5,qual,,1,A,30,0,15,0,
,,,,2,B,0,20,25,0,
,,,,3,C,20,10,0,0,
,,,,4,D,3,20,0,0,
,,,,5,E,10,0,20,0,
Pastel2,6,qual,,1,A,30,0,15,0,
,,,,2,B,0,20,25,0,
,,,,3,C,20,10,0,0,
,,,,4,D,3,20,0,0,
,,,,5,E,10,0,20,0,
,,,,6,F,0,5,30,0,
Pastel2,7,qual,,1,A,30,0,15,0,
,,,,2,B,0,20,25,0,
,,,,3,C,20,10,0,0,
,,,,4,D,3,20,0,0,
,,,,5,E,10,0,20,0,
,,,,6,F,0,5,30,0,
,,,,7,G,5,10,15,0,
Pastel2,8,qual,,1,A,30,0,15,0,
,,,,2,B,0,20,25,0,
,,,,3,C,20,10,0,0,
,,,,4,D,3,20,0,0,
,,,,5,E,10,0,20,0,
,,,,6,F,0,5,30,0,
,,,,7,G,5,10,15,0,
,,,,8,H,0,0,0,20,
PiYG,3,div,2,1,E,7,35,3,0,Diverging
,,,,2,H,0,0,0,3,
,,,,3,K,37,0,60,0,
PiYG,4,div,2.5,1,C,15,90,0,0,
,,,,2,F,4,28,0,0,
,,,,3,J,28,0,47,0,
,,,,4,M,70,0,100,0,
PiYG,5,div,3,1,C,15,90,0,0,
,,,,2,F,4,28,0,0,
,,,,3,H,0,0,0,3,
,,,,4,J,28,0,47,0,
,,,,5,M,70,0,100,0,
PiYG,6,div,3.5,1,B,20,90,10,0,
,,,,2,E,7,35,3,0,
,,,,3,G,0,12,0,0,
,,,,4,I,10,0,17,0,
,,,,5,K,37,0,60,0,
,,,,6,N,70,15,100,0,
PiYG,7,div,4,1,B,20,90,10,0,
,,,,2,E,7,35,3,0,
,,,,3,G,0,12,0,0,
,,,,4,H,0,0,0,3,
,,,,5,I,10,0,17,0,
,,,,6,K,37,0,60,0,
,,,,7,N,70,15,100,0,
PiYG,8,div,4.5,1,B,20,90,10,0,
,,,,2,D,11,52,6,0,
,,,,3,F,4,28,0,0,
,,,,4,G,0,12,0,0,
,,,,5,I,10,0,17,0,
,,,,6,J,28,0,47,0,
,,,,7,L,50,5,80,0,
,,,,8,N,70,15,100,0,
PiYG,9,div,5,1,B,20,90,10,0,
,,,,2,D,11,52,6,0,
,,,,3,F,4,28,0,0,
,,,,4,G,0,12,0,0,
,,,,5,H,0,0,0,3,
,,,,6,I,10,0,17,0,
,,,,7,J,28,0,47,0,
,,,,8,L,50,5,80,0,
,,,,9,N,70,15,100,0,
PiYG,10,div,5.5,1,A,10,100,0,35,
,,,,2,B,20,90,10,0,
,,,,3,D,11,52,6,0,
,,,,4,F,4,28,0,0,
,,,,5,G,0,12,0,0,
,,,,6,I,10,0,17,0,
,,,,7,J,28,0,47,0,
,,,,8,L,50,5,80,0,
,,,,9,N,70,15,100,0,
,,,,10,O,75,0,100,40,
PiYG,11,div,6,1,A,10,100,0,35,
,,,,2,B,20,90,10,0,
,,,,3,D,11,52,6,0,
,,,,4,F,4,28,0,0,
,,,,5,G,0,12,0,0,
,,,,6,H,0,0,0,3,
,,,,7,I,10,0,17,0,
,,,,8,J,28,0,47,0,
,,,,9,L,50,5,80,0,
,,,,10,N,70,15,100,0,
,,,,11,O,75,0,100,40,
PRGn,3,div,2,1,E,31,38,0,0,Diverging
,,,,2,H,0,0,0,3,
,,,,3,K,50,5,50,0,
PRGn,4,div,2.5,1,C,53,77,0,0,
,,,,2,F,23,30,0,0,
,,,,3,J,35,0,35,0,
,,,,4,M,100,0,100,0,
PRGn,5,div,3,1,C,53,77,0,0,
,,,,2,F,23,30,0,0,
,,,,3,H,0,0,0,3,
,,,,4,J,35,0,35,0,
,,,,5,M,100,0,100,0,
PRGn,6,div,3.5,1,B,55,80,10,0,
,,,,2,E,31,38,0,0,
,,,,3,G,9,14,0,0,
,,,,4,I,15,0,15,0,
,,,,5,K,50,5,50,0,
,,,,6,N,90,20,90,0,
PRGn,7,div,4,1,B,55,80,10,0,
,,,,2,E,31,38,0,0,
,,,,3,G,9,14,0,0,
,,,,4,H,0,0,0,3,
,,,,5,I,15,0,15,0,
,,,,6,K,50,5,50,0,
,,,,7,N,90,20,90,0,
PRGn,8,div,4.5,1,B,55,80,10,0,
,,,,2,D,40,49,5,0,
,,,,3,F,23,30,0,0,
,,,,4,G,9,14,0,0,
,,,,5,I,15,0,15,0,
,,,,6,J,35,0,35,0,
,,,,7,L,65,5,65,0,
,,,,8,N,90,20,90,0,
PRGn,9,div,5,1,B,55,80,10,0,
,,,,2,D,40,49,5,0,
,,,,3,F,23,30,0,0,
,,,,4,G,9,14,0,0,
,,,,5,H,0,0,0,3,
,,,,6,I,15,0,15,0,
,,,,7,J,35,0,35,0,
,,,,8,L,65,5,65,0,
,,,,9,N,90,20,90,0,
PRGn,10,div,5.5,1,A,60,100,0,40,
,,,,2,B,55,80,10,0,
,,,,3,D,40,49,5,0,
,,,,4,F,23,30,0,0,
,,,,5,G,9,14,0,0,
,,,,6,I,15,0,15,0,
,,,,7,J,35,0,35,0,
,,,,8,L,65,5,65,0,
,,,,9,N,90,20,90,0,
,,,,10,O,100,50,100,0,
PRGn,11,div,6,1,A,60,100,0,40,
,,,,2,B,55,80,10,0,
,,,,3,D,40,49,5,0,
,,,,4,F,23,30,0,0,
,,,,5,G,9,14,0,0,
,,,,6,H,0,0,0,3,
,,,,7,I,15,0,15,0,
,,,,8,J,35,0,35,0,
,,,,9,L,65,5,65,0,
,,,,10,N,90,20,90,0,
,,,,11,O,100,50,100,0,
PuBu,3,seq,,1,C,7,7,0,0,Sequential
,,,,2,F,35,15,0,0,
,,,,3,I,85,20,0,0,
PuBu,4,seq,,1,B,5,5,0,0,
,,,,2,E,26,13,0,0,
,,,,3,G,55,17,0,0,
,,,,4,J,100,30,0,0,
PuBu,5,seq,,1,B,5,5,0,0,
,,,,2,E,26,13,0,0,
,,,,3,G,55,17,0,0,
,,,,4,I,85,20,0,0,
,,,,5,K,100,30,0,20,
PuBu,6,seq,,1,B,5,5,0,0,
,,,,2,D,18,12,0,0,
,,,,3,F,35,15,0,0,
,,,,4,G,55,17,0,0,
,,,,5,I,85,20,0,0,
,,,,6,K,100,30,0,20,
PuBu,7,seq,,1,B,5,5,0,0,
,,,,2,D,18,12,0,0,
,,,,3,F,35,15,0,0,
,,,,4,G,55,17,0,0,
,,,,5,H,80,20,0,0,
,,,,6,J,100,30,0,0,
,,,,7,L,100,30,0,30,
PuBu,8,seq,,1,A,0,3,0,0,
,,,,2,C,7,7,0,0,
,,,,3,D,18,12,0,0,
,,,,4,F,35,15,0,0,
,,,,5,G,55,17,0,0,
,,,,6,H,80,20,0,0,
,,,,7,J,100,30,0,0,
,,,,8,L,100,30,0,30,
PuBu,9,seq,,1,A,0,3,0,0,
,,,,2,C,7,7,0,0,
,,,,3,D,18,12,0,0,
,,,,4,F,35,15,0,0,
,,,,5,G,55,17,0,0,
,,,,6,H,80,20,0,0,
,,,,7,J,100,30,0,0,
,,,,8,K,100,30,0,20,
,,,,9,M,100,30,0,50,
PuBuGn,3,seq,,1,C,7,9,0,0,Sequential
,,,,2,F,35,15,0,0,
,,,,3,I,90,12,27,0,
PuBuGn,4,seq,,1,B,3,5,0,0,
,,,,2,E,26,13,0,0,
,,,,3,G,60,15,0,0,
,,,,4,J,100,15,35,0,
PuBuGn,5,seq,,1,B,3,5,0,0,
,,,,2,E,26,13,0,0,
,,,,3,G,60,15,0,0,
,,,,4,I,90,12,27,0,
,,,,5,K,100,25,65,0,
PuBuGn,6,seq,,1,B,3,5,0,0,
,,,,2,D,18,12,0,0,
,,,,3,F,35,15,0,0,
,,,,4,G,60,15,0,0,
,,,,5,I,90,12,27,0,
,,,,6,K,100,25,65,0,
PuBuGn,7,seq,,1,B,3,5,0,0,
,,,,2,D,18,12,0,0,
,,,,3,F,35,15,0,0,
,,,,4,G,60,15,0,0,
,,,,5,H,80,20,0,0,
,,,,6,J,100,15,35,0,
,,,,7,L,100,30,70,0,
PuBuGn,8,seq,,1,A,0,3,0,0,
,,,,2,C,7,9,0,0,
,,,,3,D,18,12,0,0,
,,,,4,F,35,15,0,0,
,,,,5,G,60,15,0,0,
,,,,6,H,80,20,0,0,
,,,,7,J,100,15,35,0,
,,,,8,L,100,30,70,0,
PuBuGn,9,seq,,1,A,0,3,0,0,
,,,,2,C,7,9,0,0,
,,,,3,D,18,12,0,0,
,,,,4,F,35,15,0,0,
,,,,5,G,60,15,0,0,
,,,,6,H,80,20,0,0,
,,,,7,J,100,15,35,0,
,,,,8,K,100,25,65,0,
,,,,9,M,100,50,80,0,
PuOr,3,div,2,1,E,5,35,70,0,Diverging
,,,,2,H,0,0,0,3,
,,,,3,K,40,35,0,0,
PuOr,4,div,2.5,1,C,10,60,100,0,
,,,,2,F,0,28,55,0,
,,,,3,J,30,25,0,0,
,,,,4,M,65,70,0,0,
PuOr,5,div,3,1,C,10,60,100,0,
,,,,2,F,0,28,55,0,
,,,,3,H,0,0,0,3,
,,,,4,J,30,25,0,0,
,,,,5,M,65,70,0,0,
PuOr,6,div,3.5,1,B,30,60,100,0,
,,,,2,E,5,35,70,0,
,,,,3,G,0,12,24,0,
,,,,4,I,15,10,0,0,
,,,,5,K,40,35,0,0,
,,,,6,N,70,80,5,0,
PuOr,7,div,4,1,B,30,60,100,0,
,,,,2,E,5,35,70,0,
,,,,3,G,0,12,24,0,
,,,,4,H,0,0,0,3,
,,,,5,I,15,10,0,0,
,,,,6,K,40,35,0,0,
,,,,7,N,70,80,5,0,
PuOr,8,div,4.5,1,B,30,60,100,0,
,,,,2,D,12,46,92,0,
,,,,3,F,0,28,55,0,
,,,,4,G,0,12,24,0,
,,,,5,I,15,10,0,0,
,,,,6,J,30,25,0,0,
,,,,7,L,50,45,5,0,
,,,,8,N,70,80,5,0,
PuOr,9,div,5,1,B,30,60,100,0,
,,,,2,D,12,46,92,0,
,,,,3,F,0,28,55,0,
,,,,4,G,0,12,24,0,
,,,,5,H,0,0,0,3,
,,,,6,I,15,10,0,0,
,,,,7,J,30,25,0,0,
,,,,8,L,50,45,5,0,
,,,,9,N,70,80,5,0,
PuOr,10,div,5.5,1,A,50,70,100,0,
,,,,2,B,30,60,100,0,
,,,,3,D,12,46,92,0,
,,,,4,F,0,28,55,0,
,,,,5,G,0,12,24,0,
,,,,6,I,15,10,0,0,
,,,,7,J,30,25,0,0,
,,,,8,L,50,45,5,0,
,,,,9,N,70,80,5,0,
,,,,10,O,75,100,0,40,
PuOr,11,div,6,1,A,50,70,100,0,
,,,,2,B,30,60,100,0,
,,,,3,D,12,46,92,0,
,,,,4,F,0,28,55,0,
,,,,5,G,0,12,24,0,
,,,,6,H,0,0,0,3,
,,,,7,I,15,10,0,0,
,,,,8,J,30,25,0,0,
,,,,9,L,50,45,5,0,
,,,,10,N,70,80,5,0,
,,,,11,O,75,100,0,40,
PuRd,3,seq,,1,C,9,9,0,0,Sequential
,,,,2,F,20,38,0,0,
,,,,3,I,10,90,15,0,
PuRd,4,seq,,1,B,5,5,0,0,
,,,,2,E,15,25,0,0,
,,,,3,G,10,60,0,0,
,,,,4,J,17,95,35,0,
PuRd,5,seq,,1,B,5,5,0,0,
,,,,2,E,15,25,0,0,
,,,,3,G,10,60,0,0,
,,,,4,I,10,90,15,0,
,,,,5,K,40,100,47,0,
PuRd,6,seq,,1,B,5,5,0,0,
,,,,2,D,16,23,0,0,
,,,,3,F,20,38,0,0,
,,,,4,G,10,60,0,0,
,,,,5,I,10,90,15,0,
,,,,6,K,40,100,47,0,
PuRd,7,seq,,1,B,5,5,0,0,
,,,,2,D,16,23,0,0,
,,,,3,F,20,38,0,0,
,,,,4,G,10,60,0,0,
,,,,5,H,5,85,5,0,
,,,,6,J,17,95,35,0,
,,,,7,L,43,100,50,0,
PuRd,8,seq,,1,A,3,3,0,0,
,,,,2,C,9,9,0,0,
,,,,3,D,16,23,0,0,
,,,,4,F,20,38,0,0,
,,,,5,G,10,60,0,0,
,,,,6,H,5,85,5,0,
,,,,7,J,17,95,35,0,
,,,,8,L,43,100,50,0,
PuRd,9,seq,,1,A,3,3,0,0,
,,,,2,C,9,9,0,0,
,,,,3,D,16,23,0,0,
,,,,4,F,20,38,0,0,
,,,,5,G,10,60,0,0,
,,,,6,H,5,85,5,0,
,,,,7,J,17,95,35,0,
,,,,8,K,40,100,47,0,
,,,,9,M,60,100,75,0,
Purples,3,seq,,1,C,6,5,0,0,Sequential
,,,,2,F,28,18,0,0,
,,,,3,I,55,48,0,0,
Purples,4,seq,,1,B,5,4,0,0,
,,,,2,E,20,15,0,0,
,,,,3,G,38,30,0,0,
,,,,4,J,60,60,0,0,
Purples,5,seq,,1,B,5,4,0,0,
,,,,2,E,20,15,0,0,
,,,,3,G,38,30,0,0,
,,,,4,I,55,48,0,0,
,,,,5,K,70,80,0,0,
Purples,6,seq,,1,B,5,4,0,0,
,,,,2,D,14,10,0,0,
,,,,3,F,26,18,0,0,
,,,,4,G,38,30,0,0,
,,,,5,I,55,48,0,0,
,,,,6,K,70,80,0,0,
Purples,7,seq,,1,B,5,4,0,0,
,,,,2,D,14,10,0,0,
,,,,3,F,26,18,0,0,
,,,,4,G,38,30,0,0,
,,,,5,H,50,40,0,0,
,,,,6,J,60,60,0,0,
,,,,7,L,75,90,0,0,
Purples,8,seq,,1,A,1,1,0,0,
,,,,2,C,6,5,0,0,
,,,,3,D,14,10,0,0,
,,,,4,F,26,18,0,0,
,,,,5,G,38,30,0,0,
,,,,6,H,50,40,0,0,
,,,,7,J,60,60,0,0,
,,,,8,L,75,90,0,0,
Purples,9,seq,,1,A,1,1,0,0,
,,,,2,C,6,5,0,0,
,,,,3,D,14,10,0,0,
,,,,4,F,26,18,0,0,
,,,,5,G,38,30,0,0,
,,,,6,H,50,40,0,0,
,,,,7,J,60,60,0,0,
,,,,8,K,70,80,0,0,
,,,,9,M,80,100,0,0,
RdBu,3,div,2,1,E,5,45,50,0,Diverging
,,,,2,H,0,0,0,3,
,,,,3,K,60,15,0,0,
RdBu,4,div,2.5,1,C,20,100,75,0,
,,,,2,F,3,35,38,0,
,,,,3,J,43,8,0,0,
,,,,4,M,100,30,0,0,
RdBu,5,div,3,1,C,20,100,75,0,
,,,,2,F,3,35,38,0,
,,,,3,H,0,0,0,3,
,,,,4,J,43,8,0,0,
,,,,5,M,100,30,0,0,
RdBu,6,div,3.5,1,B,30,90,70,0,
,,,,2,E,5,45,50,0,
,,,,3,G,0,14,16,0,
,,,,4,I,18,4,0,0,
,,,,5,K,60,15,0,0,
,,,,6,N,90,40,0,0,
RdBu,7,div,4,1,B,30,90,70,0,
,,,,2,E,5,45,50,0,
,,,,3,G,0,14,16,0,
,,,,4,H,0,0,0,3,
,,,,5,I,18,4,0,0,
,,,,6,K,60,15,0,0,
,,,,7,N,90,40,0,0,
RdBu,8,div,4.5,1,B,30,90,70,0,
,,,,2,D,15,60,57,0,
,,,,3,F,3,35,38,0,
,,,,4,G,0,14,16,0,
,,,,5,I,18,4,0,0,
,,,,6,J,43,8,0,0,
,,,,7,L,75,20,0,0,
,,,,8,N,90,40,0,0,
RdBu,9,div,5,1,B,30,90,70,0,
,,,,2,D,15,60,57,0,
,,,,3,F,3,35,38,0,
,,,,4,G,0,14,16,0,
,,,,5,H,0,0,0,3,
,,,,6,I,18,4,0,0,
,,,,7,J,43,8,0,0,
,,,,8,L,75,20,0,0,
,,,,9,N,90,40,0,0,
RdBu,10,div,5.5,1,A,60,100,75,0,
,,,,2,B,30,90,70,0,
,,,,3,D,15,60,57,0,
,,,,4,F,3,35,38,0,
,,,,5,G,0,14,16,0,
,,,,6,I,18,4,0,0,
,,,,7,J,43,8,0,0,
,,,,8,L,75,20,0,0,
,,,,9,N,90,40,0,0,
,,,,10,O,100,50,0,40,
RdBu,11,div,6,1,A,60,100,75,0,
,,,,2,B,30,90,70,0,
,,,,3,D,15,60,57,0,
,,,,4,F,3,35,38,0,
,,,,5,G,0,14,16,0,
,,,,6,H,0,0,0,3,
,,,,7,I,18,4,0,0,
,,,,8,J,43,8,0,0,
,,,,9,L,75,20,0,0,
,,,,10,N,90,40,0,0,
,,,,11,O,100,50,0,40,
RdGy,3,div,2,1,E,5,45,50,0,Diverging
,,,,2,H,0,0,0,0,
,,,,3,K,0,0,0,40,
RdGy,4,div,2.5,1,C,20,100,75,0,
,,,,2,F,3,35,38,0,
,,,,3,J,0,0,0,27,
,,,,4,M,0,0,0,75,
RdGy,5,div,3,1,C,20,100,75,0,
,,,,2,F,3,35,38,0,
,,,,3,H,0,0,0,0,
,,,,4,J,0,0,0,27,
,,,,5,M,0,0,0,75,
RdGy,6,div,3.5,1,B,30,90,70,0,
,,,,2,E,5,45,50,0,
,,,,3,G,0,14,16,0,
,,,,4,I,0,0,0,12,
,,,,5,K,0,0,0,40,
,,,,6,N,0,0,0,70,
RdGy,7,div,4,1,B,30,90,70,0,
,,,,2,E,5,45,50,0,
,,,,3,G,0,14,16,0,
,,,,4,H,0,0,0,0,
,,,,5,I,0,0,0,12,
,,,,6,K,0,0,0,40,
,,,,7,N,0,0,0,70,
RdGy,8,div,4.5,1,B,30,90,70,0,
,,,,2,D,15,60,57,0,
,,,,3,F,3,35,38,0,
,,,,4,G,0,14,16,0,
,,,,5,I,0,0,0,12,
,,,,6,J,0,0,0,27,
,,,,7,L,0,0,0,47,
,,,,8,N,0,0,0,70,
RdGy,9,div,5,1,B,30,90,70,0,
,,,,2,D,15,60,57,0,
,,,,3,F,3,35,38,0,
,,,,4,G,0,14,16,0,
,,,,5,H,0,0,0,0,
,,,,6,I,0,0,0,12,
,,,,7,J,0,0,0,27,
,,,,8,L,0,0,0,47,
,,,,9,N,0,0,0,70,
RdGy,10,div,5.5,1,A,60,100,75,0,
,,,,2,B,30,90,70,0,
,,,,3,D,15,60,57,0,
,,,,4,F,3,35,38,0,
,,,,5,G,0,14,16,0,
,,,,6,I,0,0,0,12,
,,,,7,J,0,0,0,27,
,,,,8,L,0,0,0,47,
,,,,9,N,0,0,0,70,
,,,,10,O,0,0,0,90,
RdGy,11,div,6,1,A,60,100,75,0,
,,,,2,B,30,90,70,0,
,,,,3,D,15,60,57,0,
,,,,4,F,3,35,38,0,
,,,,5,G,0,14,16,0,
,,,,6,H,0,0,0,0,
,,,,7,I,0,0,0,12,
,,,,8,J,0,0,0,27,
,,,,9,L,0,0,0,47,
,,,,10,N,0,0,0,70,
,,,,11,O,0,0,0,90,
RdPu,3,seq,,1,C,0,12,8,0,Sequential
,,,,2,F,0,38,12,0,
,,,,3,I,20,90,0,0,
RdPu,4,seq,,1,B,0,8,8,0,
,,,,2,E,0,30,15,0,
,,,,3,G,0,60,10,0,
,,,,4,J,30,100,0,0,
RdPu,5,seq,,1,B,0,8,8,0,
,,,,2,E,0,30,15,0,
,,,,3,G,0,60,10,0,
,,,,4,I,20,90,0,0,
,,,,5,K,50,100,0,5,
RdPu,6,seq,,1,B,0,8,8,0,
,,,,2,D,0,23,15,0,
,,,,3,F,0,38,12,0,
,,,,4,G,0,60,10,0,
,,,,5,I,20,90,0,0,
,,,,6,K,50,100,0,5,
RdPu,7,seq,,1,B,0,8,8,0,
,,,,2,D,0,23,15,0,
,,,,3,F,0,38,12,0,
,,,,4,G,0,60,10,0,
,,,,5,H,10,80,0,0,
,,,,6,J,30,100,0,0,
,,,,7,L,50,100,0,5,
RdPu,8,seq,,1,A,0,3,3,0,
,,,,2,C,0,12,8,0,
