ColorName,NumOfColors,Type,CritVal,ColorNum,ColorLetter,C,M,Y,K,SchemeType
,,,,3,D,0,23,15,0,
,,,,4,F,0,38,12,0,
,,,,5,G,0,60,10,0,
,,,,6,H,10,80,0,0,
,,,,7,J,30,100,0,0,
,,,,8,L,50,100,0,5,
RdPu,9,seq,,1,A,0,3,3,0,
,,,,2,C,0,12,8,0,
,,,,3,D,0,23,15,0,
,,,,4,F,0,38,12,0,
,,,,5,G,0,60,10,0,
,,,,6,H,10,80,0,0,
,,,,7,J,30,100,0,0,
,,,,8,K,50,100,0,5,
,,,,9,M,70,100,0,15,
Reds,3,seq,,1,C,0,12,12,0,Sequential
,,,,2,F,0,43,43,0,
,,,,3,I,12,82,75,0,
Reds,4,seq,,1,B,0,10,10,0,
,,,,2,E,0,32,32,0,
,,,,3,G,0,59,59,0,
,,,,4,J,20,90,80,0,
Reds,5,seq,,1,B,0,10,10,0,
,,,,2,E,0,32,32,0,
,,,,3,G,0,59,59,0,
,,,,4,I,12,82,75,0,
,,,,5,K,35,95,85,0,
Reds,6,seq,,1,B,0,10,10,0,
,,,,2,D,0,27,27,0,
,,,,3,F,0,43,43,0,
,,,,4,G,0,59,59,0,
,,,,5,I,12,82,75,0,
,,,,6,K,35,95,85,0,
Reds,7,seq,,1,B,0,10,10,0,
,,,,2,D,0,27,27,0,
,,,,3,F,0,43,43,0,
,,,,4,G,0,59,59,0,
,,,,5,H,5,77,72,0,
,,,,6,J,20,90,80,0,
,,,,7,L,40,100,90,0,
Reds,8,seq,,1,A,0,4,4,0,
,,,,2,C,0,12,12,0,
,,,,3,D,0,27,27,0,
,,,,4,F,0,43,43,0,
,,,,5,G,0,59,59,0,
,,,,6,H,5,77,72,0,
,,,,7,J,20,90,80,0,
,,,,8,L,40,100,90,0,
Reds,9,seq,,1,A,0,4,4,0,
,,,,2,C,0,12,12,0,
,,,,3,D,0,27,27,0,
,,,,4,F,0,43,43,0,
,,,,5,G,0,59,59,0,
,,,,6,H,5,77,72,0,
,,,,7,J,20,90,80,0,
,,,,8,K,35,95,85,0,
,,,,9,M,60,100,90,0,
RdYlBu,3,div,2,1,E,0,45,55,0,Diverging
,,,,2,H,0,0,25,0,
,,,,3,K,43,11,0,0,
RdYlBu,4,div,2.5,1,C,15,90,80,0,
,,,,2,F,0,32,55,0,
,,,,3,J,33,3,0,0,
,,,,4,M,85,30,0,0,
RdYlBu,5,div,3,1,C,15,90,80,0,
,,,,2,F,0,32,55,0,
,,,,3,H,0,0,25,0,
,,,,4,J,33,3,0,0,
,,,,5,M,85,30,0,0,
RdYlBu,6,div,3.5,1,B,15,80,75,0,
,,,,2,E,0,45,55,0,
,,,,3,G,0,12,40,0,
,,,,4,I,12,0,0,0,
,,,,5,K,43,11,0,0,
,,,,6,N,75,37,0,0,
RdYlBu,7,div,4,1,B,15,80,75,0,
,,,,2,E,0,45,55,0,
,,,,3,G,0,12,40,0,
,,,,4,H,0,0,25,0,
,,,,5,I,12,0,0,0,
,,,,6,K,43,11,0,0,
,,,,7,N,75,37,0,0,
RdYlBu,8,div,4.5,1,B,15,80,75,0,
,,,,2,D,3,57,63,0,
,,,,3,F,0,32,55,0,
,,,,4,G,0,12,40,0,
,,,,5,I,12,0,0,0,
,,,,6,J,33,3,0,0,
,,,,7,L,55,15,0,0,
,,,,8,N,75,37,0,0,
RdYlBu,9,div,5,1,B,15,80,75,0,
,,,,2,D,3,57,63,0,
,,,,3,F,0,32,55,0,
,,,,4,G,0,12,40,0,
,,,,5,H,0,0,25,0,
,,,,6,I,12,0,0,0,
,,,,7,J,33,3,0,0,
,,,,8,L,55,15,0,0,
,,,,9,N,75,37,0,0,
RdYlBu,10,div,5.5,1,A,35,100,70,0,
,,,,2,B,15,80,75,0,
,,,,3,D,3,57,63,0,
,,,,4,F,0,32,55,0,
,,,,5,G,0,12,40,0,
,,,,6,I,12,0,0,0,
,,,,7,J,33,3,0,0,
,,,,8,L,55,15,0,0,
,,,,9,N,75,37,0,0,
,,,,10,O,85,70,0,0,
RdYlBu,11,div,6,1,A,35,100,70,0,
,,,,2,B,15,80,75,0,
,,,,3,D,3,57,63,0,
,,,,4,F,0,35,55,0,
,,,,5,G,0,12,40,0,
,,,,6,H,0,0,25,0,
,,,,7,I,12,0,0,0,
,,,,8,J,33,3,0,0,
,,,,9,L,55,15,0,0,
,,,,10,N,75,37,0,0,
,,,,11,O,85,70,0,0,
RdYlGn,3,div,2,1,E,0,45,55,0,Diverging
,,,,2,H,0,0,25,0,
,,,,3,K,43,0,65,0,
RdYlGn,4,div,2.5,1,C,15,90,80,0,
,,,,2,F,0,32,55,0,
,,,,3,J,35,0,60,0,
,,,,4,M,90,0,90,0,
RdYlGn,5,div,3,1,C,15,90,80,0,
,,,,2,F,0,35,55,0,
,,,,3,H,0,0,25,0,
,,,,4,J,35,0,60,0,
,,,,5,M,90,0,90,0,
RdYlGn,6,div,3.5,1,B,15,80,75,0,
,,,,2,E,0,45,55,0,
,,,,3,G,0,12,42,0,
,,,,4,I,15,0,45,0,
,,,,5,K,43,0,65,0,
,,,,6,N,90,0,90,0,
RdYlGn,7,div,4,1,B,15,80,75,0,
,,,,2,E,0,45,55,0,
,,,,3,G,0,12,42,0,
,,,,4,H,0,0,25,0,
,,,,5,I,15,0,45,0,
,,,,6,K,43,0,65,0,
,,,,7,N,90,0,80,0,
RdYlGn,8,div,4.5,1,B,15,80,75,0,
,,,,2,D,3,57,63,0,
,,,,3,F,0,32,55,0,
,,,,4,G,0,12,42,0,
,,,,5,I,15,0,45,0,
,,,,6,J,35,0,60,0,
,,,,7,L,60,0,65,0,
,,,,8,N,90,0,80,0,
RdYlGn,9,div,5,1,B,15,80,75,0,
,,,,2,D,3,57,63,0,
,,,,3,F,0,32,55,0,
,,,,4,G,0,12,42,0,
,,,,5,H,0,0,25,0,
,,,,6,I,15,0,45,0,
,,,,7,J,35,0,60,0,
,,,,8,L,60,0,65,0,
,,,,9,N,90,0,80,0,
RdYlGn,10,div,5.5,1,A,35,100,70,0,
,,,,2,B,15,80,75,0,
,,,,3,D,3,57,63,0,
,,,,4,F,0,32,55,0,
,,,,5,G,0,12,42,0,
,,,,6,I,15,0,45,0,
,,,,7,J,35,0,60,0,
,,,,8,L,60,0,65,0,
,,,,9,N,90,0,80,0,
,,,,10,O,100,25,90,0,
RdYlGn,11,div,6,1,A,35,100,75,0,
,,,,2,B,15,80,75,0,
,,,,3,D,3,57,63,0,
,,,,4,F,0,32,55,0,
,,,,5,G,0,12,42,0,
,,,,6,H,0,0,25,0,
,,,,7,I,15,0,45,0,
,,,,8,J,35,0,60,0,
,,,,9,L,60,0,65,0,
,,,,10,N,90,0,80,0,
,,,,11,O,100,25,90,0,
Set1,3,qual,,1,A,10,90,80,0,Qualitative
,,,,2,B,80,30,0,0,
,,,,3,C,70,0,80,0,
Set1,4,qual,,1,A,10,90,80,0,
,,,,2,B,80,30,0,0,
,,,,3,C,70,0,80,0,
,,,,4,D,40,65,0,0,
Set1,5,qual,,1,A,10,90,80,0,
,,,,2,B,80,30,0,0,
,,,,3,C,70,0,80,0,
,,,,4,D,40,65,0,0,
,,,,5,E,0,50,100,0,
Set1,6,qual,,1,A,10,90,80,0,
,,,,2,B,80,30,0,0,
,,,,3,C,70,0,80,0,
,,,,4,D,40,65,0,0,
,,,,5,E,0,50,100,0,
,,,,6,F,0,0,80,0,
Set1,7,qual,,1,A,10,90,80,0,
,,,,2,B,80,30,0,0,
,,,,3,C,70,0,80,0,
,,,,4,D,40,65,0,0,
,,,,5,E,0,50,100,0,
,,,,6,F,0,0,80,0,
,,,,7,G,35,60,80,0,
Set1,8,qual,,1,A,10,90,80,0,
,,,,2,B,80,30,0,0,
,,,,3,C,70,0,80,0,
,,,,4,D,40,65,0,0,
,,,,5,E,0,50,100,0,
,,,,6,F,0,0,80,0,
,,,,7,G,35,60,80,0,
,,,,8,H,0,50,0,0,
Set1,9,qual,,1,A,10,90,80,0,
,,,,2,B,80,30,0,0,
,,,,3,C,70,0,80,0,
,,,,4,D,40,65,0,0,
,,,,5,E,0,50,100,0,
,,,,6,F,0,0,80,0,
,,,,7,G,35,60,80,0,
,,,,8,H,0,50,0,0,
,,,,9,I,0,0,0,40,
Set2,3,qual,,1,A,60,0,30,0,Qualitative
,,,,2,B,0,45,50,0,
,,,,3,C,45,25,0,0,
Set2,4,qual,,1,A,60,0,30,0,
,,,,2,B,0,45,50,0,
,,,,3,C,45,25,0,0,
,,,,4,D,7,45,0,0,
Set2,5,qual,,1,A,60,0,30,0,
,,,,2,B,0,45,50,0,
,,,,3,C,45,25,0,0,
,,,,4,D,7,45,0,0,
,,,,5,E,35,0,70,0,
Set2,6,qual,,1,A,60,0,30,0,
,,,,2,B,0,45,50,0,
,,,,3,C,45,25,0,0,
,,,,4,D,7,45,0,0,
,,,,5,E,35,0,70,0,
,,,,6,F,0,15,80,0,
Set2,7,qual,,1,A,60,0,30,0,
,,,,2,B,0,45,50,0,
,,,,3,C,45,25,0,0,
,,,,4,D,7,45,0,0,
,,,,5,E,35,0,70,0,
,,,,6,F,0,15,80,0,
,,,,7,G,10,20,35,0,
Set2,8,qual,,1,A,60,0,30,0,
,,,,2,B,0,45,50,0,
,,,,3,C,45,25,0,0,
,,,,4,D,7,45,0,0,
,,,,5,E,35,0,70,0,
,,,,6,F,0,15,80,0,
,,,,7,G,10,20,35,0,
,,,,8,H,0,0,0,30,
Set3,3,qual,,1,A,45,0,15,0,Qualitative
,,,,2,B,0,0,30,0,
,,,,3,C,25,20,0,0,
Set3,4,qual,,1,A,45,0,15,0,
,,,,2,B,0,0,30,0,
,,,,3,C,25,20,0,0,
,,,,4,D,0,50,40,0,
Set3,5,qual,,1,A,45,0,15,0,
,,,,2,B,0,0,30,0,
,,,,3,C,25,20,0,0,
,,,,4,D,0,50,40,0,
,,,,5,E,50,15,0,0,
Set3,6,qual,,1,A,45,0,15,0,
,,,,2,B,0,0,30,0,
,,,,3,C,25,20,0,0,
,,,,4,D,0,50,40,0,
,,,,5,E,50,15,0,0,
,,,,6,F,0,30,55,0,
Set3,7,qual,,1,A,45,0,15,0,
,,,,2,B,0,0,30,0,
,,,,3,C,25,20,0,0,
,,,,4,D,0,50,40,0,
,,,,5,E,50,15,0,0,
,,,,6,F,0,30,55,0,
,,,,7,G,30,0,60,0,
Set3,8,qual,,1,A,45,0,15,0,
,,,,2,B,0,0,30,0,
,,,,3,C,25,20,0,0,
,,,,4,D,0,50,40,0,
,,,,5,E,50,15,0,0,
,,,,6,F,0,30,55,0,
,,,,7,G,30,0,60,0,
,,,,8,H,0,20,0,0,
Set3,9,qual,,1,A,45,0,15,0,
,,,,2,B,0,0,30,0,
,,,,3,C,25,20,0,0,
,,,,4,D,0,50,40,0,
,,,,5,E,50,15,0,0,
,,,,6,F,0,30,55,0,
,,,,7,G,30,0,60,0,
,,,,8,H,0,20,0,0,
,,,,9,I,0,0,0,15,
Set3,10,qual,,1,A,45,0,15,0,
,,,,2,B,0,0,30,0,
,,,,3,C,25,20,0,0,
,,,,4,D,0,50,40,0,
,,,,5,E,50,15,0,0,
,,,,6,F,0,30,55,0,
,,,,7,G,30,0,60,0,
,,,,8,H,0,20,0,0,
,,,,9,I,0,0,0,15,
,,,,10,J,25,45,0,0,
Set3,11,qual,,1,A,45,0,15,0,
,,,,2,B,0,0,30,0,
,,,,3,C,25,20,0,0,
,,,,4,D,0,50,40,0,
,,,,5,E,50,15,0,0,
,,,,6,F,0,30,55,0,
,,,,7,G,30,0,60,0,
,,,,8,H,0,20,0,0,
,,,,9,I,0,0,0,15,
,,,,10,J,25,45,0,0,
,,,,11,K,20,0,20,0,
Set3,12,qual,,1,A,45,0,15,0,
,,,,2,B,0,0,30,0,
,,,,3,C,25,20,0,0,
,,,,4,D,0,50,40,0,
,,,,5,E,50,15,0,0,
,,,,6,F,0,30,55,0,
,,,,7,G,30,0,60,0,
,,,,8,H,0,20,0,0,
,,,,9,I,0,0,0,15,
,,,,10,J,25,45,0,0,
,,,,11,K,20,0,20,0,
,,,,12,L,0,7,55,0,
Spectral,3,div,2,1,E,0,45,55,0,Diverging
,,,,2,H,0,0,25,0,
,,,,3,K,40,0,40,0,
Spectral,4,div,2.5,1,C,15,90,80,0,
,,,,2,F,0,32,55,0,
,,,,3,J,33,0,33,0,
,,,,4,M,85,25,0,0,
Spectral,5,div,3,1,C,15,90,80,0,
,,,,2,F,0,32,55,0,
,,,,3,H,0,0,25,0,
,,,,4,J,33,0,33,0,
,,,,5,M,85,25,0,0,
Spectral,6,div,3.5,1,B,15,75,50,0,
,,,,2,E,0,45,55,0,
,,,,3,G,0,12,42,0,
,,,,4,I,10,0,40,0,
,,,,5,K,40,0,40,0,
,,,,6,N,82,23,0,0,
Spectral,7,div,4,1,B,15,75,50,0,
,,,,2,E,0,45,55,0,
,,,,3,G,0,12,42,0,
,,,,4,H,0,0,25,0,
,,,,5,I,10,0,40,0,
,,,,6,K,40,0,40,0,
,,,,7,N,82,23,0,0,
Spectral,8,div,4.5,1,B,15,75,50,0,
,,,,2,D,3,57,53,0,
,,,,3,F,0,32,55,0,
,,,,4,G,0,12,42,0,
,,,,5,I,10,0,40,0,
,,,,6,J,33,0,33,0,
,,,,7,L,60,0,30,0,
,,,,8,N,82,23,0,0,
Spectral,9,div,5,1,B,15,75,50,0,
,,,,2,D,3,57,63,0,
,,,,3,F,0,32,55,0,
,,,,4,G,0,12,42,0,
,,,,5,H,0,0,25,0,
,,,,6,I,10,0,40,0,
,,,,7,J,33,0,33,0,
,,,,8,L,60,0,30,0,
,,,,9,N,82,23,0,0,
Spectral,10,div,5.5,1,A,0,100,20,35,
,,,,2,B,15,75,50,0,
,,,,3,D,3,57,63,0,
,,,,4,F,0,32,55,0,
,,,,5,G,0,12,42,0,
,,,,6,I,10,0,40,0,
,,,,7,J,33,0,33,0,
,,,,8,L,60,0,30,0,
,,,,9,N,82,23,0,0,
,,,,10,O,65,60,0,0,
Spectral,11,div,6,1,A,0,100,20,35,
,,,,2,B,15,75,50,0,
,,,,3,D,3,57,63,0,
,,,,4,F,0,32,55,0,
,,,,5,G,0,12,42,0,
,,,,6,H,0,0,25,0,
,,,,7,I,10,0,40,0,
,,,,8,J,33,0,33,0,
,,,,9,L,60,0,30,0,
,,,,10,N,82,23,0,0,
,,,,11,O,65,60,0,0,
YlGn,3,seq,,1,C,3,0,27,0,Sequential
,,,,2,F,32,0,43,0,
,,,,3,I,81,0,76,0,
YlGn,4,seq,,1,B,0,0,20,0,
,,,,2,E,24,0,39,0,
,,,,3,G,53,0,53,0,
,,,,4,J,87,10,83,0,
YlGn,5,seq,,1,B,0,0,20,0,
,,,,2,E,24,0,39,0,
,,,,3,G,53,0,53,0,
,,,,4,I,81,0,76,0,
,,,,5,K,100,25,90,0,
YlGn,6,seq,,1,B,0,0,20,0,
,,,,2,D,15,0,35,0,
,,,,3,F,32,0,43,0,
,,,,4,G,53,0,53,0,
,,,,5,I,81,0,76,0,
,,,,6,K,100,25,90,0,
YlGn,7,seq,,1,B,0,0,20,0,
,,,,2,D,15,0,35,0,
,,,,3,F,32,0,43,0,
,,,,4,G,53,0,53,0,
,,,,5,H,75,0,70,0,
,,,,6,J,87,15,83,0,
,,,,7,L,100,35,90,0,
YlGn,8,seq,,1,A,0,0,10,0,
,,,,2,C,3,0,27,0,
,,,,3,D,15,0,35,0,
,,,,4,F,32,0,43,0,
,,,,5,G,53,0,53,0,
,,,,6,H,75,0,70,0,
,,,,7,J,87,15,83,0,
,,,,8,L,100,35,90,0,
YlGn,9,seq,,1,A,0,0,10,0,
,,,,2,C,3,0,27,0,
,,,,3,D,15,0,35,0,
,,,,4,F,32,0,43,0,
,,,,5,G,53,0,53,0,
,,,,6,H,75,0,70,0,
,,,,7,J,87,15,83,0,
,,,,8,K,100,25,90,0,
,,,,9,M,100,50,90,0,
YlGnBu,3,seq,,1,C,7,0,30,0,Sequential
,,,,2,F,50,0,20,0,
,,,,3,I,85,27,0,0,
YlGnBu,4,seq,,1,B,0,0,20,0,
,,,,2,E,37,0,25,0,
,,,,3,G,75,0,10,0,
,,,,4,J,90,45,0,0,
YlGnBu,5,seq,,1,B,0,0,20,0,
,,,,2,E,37,0,25,0,
,,,,3,G,75,0,10,0,
,,,,4,I,85,27,0,0,
,,,,5,K,90,70,0,0,
YlGnBu,6,seq,,1,B,0,0,20,0,
,,,,2,D,22,0,27,0,
,,,,3,F,50,0,20,0,
,,,,4,G,75,0,10,0,
,,,,5,I,85,27,0,0,
,,,,6,K,90,70,0,0,
YlGnBu,7,seq,,1,B,0,0,20,0,
,,,,2,D,22,0,27,0,
,,,,3,F,50,0,20,0,
,,,,4,G,75,0,10,0,
,,,,5,H,90,15,0,0,
,,,,6,J,90,45,0,0,
,,,,7,L,100,70,0,10,
YlGnBu,8,seq,,1,A,0,0,15,0,
,,,,2,C,7,0,30,0,
,,,,3,D,22,0,27,0,
,,,,4,F,50,0,20,0,
,,,,5,G,75,0,10,0,
,,,,6,H,90,15,0,0,
,,,,7,J,90,45,0,0,
,,,,8,L,100,70,0,10,
YlGnBu,9,seq,,1,A,0,0,15,0,
,,,,2,C,7,0,30,0,
,,,,3,D,22,0,27,0,
,,,,4,F,50,0,20,0,
,,,,5,G,75,0,10,0,
,,,,6,H,90,15,0,0,
,,,,7,J,90,45,0,0,
,,,,8,K,90,70,0,0,
,,,,9,M,100,70,0,40,
YlOrBr,3,seq,,1,C,0,3,25,0,Sequential
,,,,2,F,0,23,65,0,
,,,,3,I,15,60,95,0,
YlOrBr,4,seq,,1,B,0,0,17,0,
,,,,2,E,0,15,40,0,
,,,,3,G,0,40,80,0,
,,,,4,J,20,67,100,0,
YlOrBr,5,seq,,1,B,0,0,17,0,
,,,,2,E,0,15,40,0,
,,,,3,G,0,40,80,0,
,,,,4,I,15,60,95,0,
,,,,5,K,40,75,100,0,
YlOrBr,6,seq,,1,B,0,0,17,0,
,,,,2,D,0,11,40,0,
,,,,3,F,0,23,65,0,
,,,,4,G,0,40,80,0,
,,,,5,I,15,60,95,0,
,,,,6,K,40,75,100,0,
YlOrBr,7,seq,,1,B,0,0,17,0,
,,,,2,D,0,11,40,0,
,,,,3,F,0,23,65,0,
,,,,4,G,0,40,80,0,
,,,,5,H,7,55,90,0,
,,,,6,J,20,67,100,0,
,,,,7,L,45,78,100,0,
YlOrBr,8,seq,,1,A,0,0,10,0,
,,,,2,C,0,3,25,0,
,,,,3,D,0,11,40,0,
,,,,4,F,0,23,65,0,
,,,,5,G,0,40,80,0,
,,,,6,H,7,55,90,0,
,,,,7,J,20,67,100,0,
,,,,8,L,45,78,100,0,
YlOrBr,9,seq,,1,A,0,0,10,0,
,,,,2,C,0,3,25,0,
,,,,3,D,0,11,40,0,
,,,,4,F,0,23,65,0,
,,,,5,G,0,40,80,0,
,,,,6,H,7,55,90,0,
,,,,7,J,20,67,100,0,
,,,,8,K,40,75,100,0,
,,,,9,M,60,80,100,0,
YlOrRd,3,seq,,1,C,0,7,35,0,Sequential
,,,,2,F,0,30,65,0,
,,,,3,I,5,77,80,0,
YlOrRd,4,seq,,1,B,0,0,30,0,
,,,,2,E,0,20,60,0,
,,,,3,G,0,45,70,0,
,,,,4,J,10,90,80,0,
YlOrRd,5,seq,,1,B,0,0,30,0,
,,,,2,E,0,20,60,0,
,,,,3,G,0,45,70,0,
,,,,4,I,5,77,80,0,
,,,,5,K,25,100,70,0,
YlOrRd,6,seq,,1,B,0,0,30,0,
,,,,2,D,0,15,50,0,
,,,,3,F,0,30,65,0,
,,,,4,G,0,45,70,0,
,,,,5,I,5,77,80,0,
,,,,6,K,25,100,70,0,
YlOrRd,7,seq,,1,B,0,0,30,0,
,,,,2,D,0,15,50,0,
,,,,3,F,0,30,65,0,
,,,,4,G,0,45,70,0,
,,,,5,H,0,70,75,0,
,,,,6,J,10,90,80,0,
,,,,7,L,30,100,70,0,
YlOrRd,8,seq,,1,A,0,0,20,0,
,,,,2,C,0,7,35,0,
,,,,3,D,0,15,50,0,
,,,,4,F,0,30,65,0,
,,,,5,G,0,45,70,0,
,,,,6,H,0,70,75,0,
,,,,7,J,10,90,80,0,
,,,,8,L,30,100,70,0,
YlOrRd,9,seq,,1,A,0,0,20,0,
,,,,2,C,0,7,35,0,
,,,,3,D,0,15,50,0,
,,,,4,F,0,30,65,0,
,,,,5,G,0,45,70,0,
,,,,6,H,0,70,75,0,
,,,,7,J,10,90,80,0,
,,,,8,K,25,100,70,0,
,,,,9,M,50,100,70,0,
